,nlpd,mae_mean,mae_median,mae_mode
324,-0.024366119876503944,0.14438216,0.15102127,0.16972688
325,-0.02134948968887329,0.1652596,0.17166862,0.18756752
326,0.02584715746343136,0.29409873,0.29904145,0.30327624
327,-0.02415943145751953,0.15552899,0.1628788,0.17442144
328,-0.021341046318411827,0.16822277,0.16866477,0.17657968
329,0.028942028060555458,0.28726807,0.28990635,0.2972551
330,0.008815486915409565,0.23307252,0.23669283,0.23637359
331,-0.024662693962454796,0.14471489,0.15240924,0.16734678
332,-0.0037377674598246813,0.2469108,0.25981188,0.28051966
333,0.2961728274822235,0.39899254,0.39288157,0.39045346
334,0.35324278473854065,0.3892599,0.38236535,0.37831154
335,0.33641090989112854,0.37771896,0.3706665,0.36724865
336,0.26463016867637634,0.3592669,0.35251254,0.35035512
337,0.4543991982936859,0.4070387,0.4004758,0.39723805
338,0.32487449049949646,0.3565488,0.34797776,0.33949095
339,0.42673954367637634,0.37330395,0.36509407,0.35515672
340,0.503572940826416,0.36839372,0.36168545,0.35275644
341,0.5390662550926208,0.38863182,0.3814768,0.37661356
342,0.575732409954071,0.42747217,0.42200902,0.4188594
343,0.4211282432079315,0.36872718,0.35941955,0.3485135
344,0.48557397723197937,0.41978386,0.4111659,0.40758324
345,0.44715020060539246,0.36792126,0.35775444,0.34829798
346,0.5059263110160828,0.40638727,0.39898285,0.39447817
347,0.4694647789001465,0.37822202,0.37211037,0.3631792
348,0.5272681713104248,0.37468883,0.36504883,0.35968062
349,0.566412627696991,0.36645716,0.35798472,0.34955397
350,0.5368736386299133,0.380287,0.373054,0.363857
351,-0.020571986213326454,0.17580493,0.18025678,0.1872814
352,0.025281349197030067,0.25048316,0.25265262,0.25386772
353,0.0033273696899414062,0.22066088,0.22116175,0.22420146
354,-0.010439872741699219,0.19080232,0.19462599,0.19931488
355,0.0071543059311807156,0.21311016,0.21454538,0.22406162
356,-0.02115917205810547,0.16981459,0.17315802,0.17682998
