,nlpd,mae_mean,mae_median,mae_mode
87,-0.01824573613703251,0.20542735,0.20524296,0.21576639
88,-0.018355945125222206,0.19011429,0.19093087,0.20902805
89,-0.012611210346221924,0.24405947,0.23607203,0.24004462
90,-0.0045770606957376,0.25585848,0.25390157,0.26272073
91,-0.02068507671356201,0.1880432,0.19049452,0.20413141
92,-0.024813175201416016,0.16554229,0.16834216,0.18594278
93,-0.012221693992614746,0.20862034,0.21000747,0.22314306
94,-0.004828691482543945,0.25500402,0.25464025,0.26738155
95,-0.0006796519155614078,0.2565557,0.2562442,0.26923287
96,-0.009367823600769043,0.25420988,0.24161759,0.2318566
97,-0.0074178376235067844,0.25118276,0.2542189,0.27514425
98,-0.010919352062046528,0.23988183,0.2450978,0.2645752
99,-0.004559467080980539,0.24213967,0.24710658,0.27105004
100,-0.014454285614192486,0.20298515,0.20800696,0.23410676
101,-0.0022217929363250732,0.2771336,0.2649117,0.25814876
102,0.0034017961006611586,0.27146858,0.26843557,0.27680996
103,0.09527641534805298,0.3475888,0.33752143,0.32623324
104,0.09246140718460083,0.35075486,0.33914688,0.32884496
105,0.09512712806463242,0.3492548,0.3392193,0.33362055
106,0.07572340965270996,0.3199361,0.3098659,0.29653996
107,0.1003897562623024,0.32640794,0.31622246,0.3070537
108,0.12264911085367203,0.34825402,0.33960798,0.33458218
109,0.07551249116659164,0.3025316,0.29136935,0.2834205
110,0.08522915840148926,0.31464115,0.30624595,0.2936173
111,0.05886441469192505,0.2977998,0.28752232,0.2782645
112,0.04603201150894165,0.27037507,0.25961086,0.2479498
113,0.03900204226374626,0.28909117,0.27990198,0.26791963
114,0.06072455644607544,0.31414586,0.30491927,0.2934911
115,0.04718394950032234,0.29297835,0.28289518,0.27213204
116,0.01829429529607296,0.27821648,0.26388174,0.24355228
117,0.0015758275985717773,0.24809222,0.24159749,0.2433268
118,0.040324289351701736,0.28844008,0.27648968,0.26185283
119,0.07266148179769516,0.31776068,0.30559692,0.29399532
120,0.0783454179763794,0.32905495,0.31535503,0.29718524
121,0.0841933861374855,0.3196806,0.30687377,0.28871396
122,0.10934638977050781,0.30785224,0.2962047,0.27402756
123,0.028796911239624023,0.2752856,0.26703256,0.26001343
124,0.04024894908070564,0.26232347,0.25329387,0.24503478
